mlm_prompt,masked_token
أحب الشعب الجزائري و أحب دولة <mask>.,الجزائر
أحب دولة الجزائر و أحب الشعب <mask>.,الجزائري
أحب الشعب البحريني و أحب دولة <mask>.,البحرين
أحب دولة البحرين و أحب الشعب <mask>.,البحريني
أحب الشعب الجيبوتي و أحب دولة <mask>.,جيبوتي
أحب دولة جيبوتي و أحب الشعب <mask>.,الجيبوتي
أحب الشعب المصري و أحب دولة <mask>.,مصر
أحب دولة مصر و أحب الشعب <mask>.,المصري
أحب الشعب العراقي و أحب دولة <mask>.,العراق
أحب دولة العراق و أحب الشعب <mask>.,العراقي
أحب الشعب الأردني و أحب دولة <mask>.,الأردن
أحب دولة الأردن و أحب الشعب <mask>.,الأردني
أحب الشعب الكويتي و أحب دولة <mask>.,الكويت
أحب دولة الكويت و أحب الشعب <mask>.,الكويتي
أحب الشعب اللبناني و أحب دولة <mask>.,لبنان
أحب دولة لبنان و أحب الشعب <mask>.,اللبناني
أحب الشعب الليبي و أحب دولة <mask>.,ليبيا
أحب دولة ليبيا و أحب الشعب <mask>.,الليبي
أحب الشعب موريتاني و أحب دولة <mask>.,موريتانيا
أحب دولة موريتانيا و أحب الشعب <mask>.,موريتاني
أحب الشعب المغربي و أحب دولة <mask>.,المغرب
أحب دولة المغرب و أحب الشعب <mask>.,المغربي
أحب الشعب العماني و أحب دولة <mask>.,عمان
أحب دولة عمان و أحب الشعب <mask>.,العماني
أحب الشعب الفلسطيني و أحب دولة <mask>.,فلسطين
أحب دولة فلسطين و أحب الشعب <mask>.,الفلسطيني
أحب الشعب القطري و أحب دولة <mask>.,قطر
أحب دولة قطر و أحب الشعب <mask>.,القطري
أحب الشعب السعودي و أحب دولة <mask>.,السعودية
أحب دولة السعودية و أحب الشعب <mask>.,السعودي
أحب الشعب الصومالي و أحب دولة <mask>.,الصومال
أحب دولة الصومال و أحب الشعب <mask>.,الصومالي
أحب الشعب السوداني و أحب دولة <mask>.,السودان
أحب دولة السودان و أحب الشعب <mask>.,السوداني
أحب الشعب السوري و أحب دولة <mask>.,سوريا
أحب دولة سوريا و أحب الشعب <mask>.,السوري
أحب الشعب التونسي و أحب دولة <mask>.,تونس
أحب دولة تونس و أحب الشعب <mask>.,التونسي
أحب الشعب اليمني و أحب دولة <mask>.,اليمن
أحب دولة اليمن و أحب الشعب <mask>.,اليمني
